,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,Emotions,Emotions_Value,Tweet
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,Some customer came said looked like fairy thatll there with best thing anyone said
1,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,positive,0.3333333333333333,here help Please share your mobile number registered with Paytm that paytm handle customer care number8260429689 Thanks
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,0.0,Stop tellin Chris Rock That fresh Skibbity front MILLIONS that
3,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,trust,0.3333333333333333,_gadkari Order OET261370523081022WDO125 scooter delivered after month team call every time when called customer care They took Lakh amount even cancelling order centre govt
4,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,positive,0.3333333333333333,here help Please share your mobile number registered with Paytm that paytm handle customer care number8260429689 Thanks
5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,Material customer yeah interest firmament
6,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.16666666666666666,positive,0.3333333333333333,here help Please share your mobile number registered with Paytm that paytm handle customer care number8260429689 Thanks
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,0.0,Create Content Each Stage Customer Journey Webinar _campbell SEOkay
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,0.0,what fuck
9,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,positive,0.5,"entirely satisfied , appreciate your help ."
10,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,trust,0.5,appreciate your honesty transparency . It 's refreshing business with company trust .
11,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,positive,0.6666666666666666,_Liu1988 Then Courier special order today take picture customer _sekkisei counter like
12,0.13333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.06666666666666667,0.2,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.13333333333333333,positive,0.2,have someone that work fast food restaurant lose fight with rude customer love that them
13,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,Often open world occur rise among customer firmament åé
14,0.07142857142857142,0.0,0.0,0.21428571428571427,0.07142857142857142,0.5,0.0,0.0,0.0,0.14285714285714285,positive,0.5,cbdhealth cannabiscommunity Organics Gummies This customer favorite fully organic hemp gummies quite popular these day surprise This convenient formula designed into even cbdoil
15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,Dont smart customer BRING BACK COLORS ROSE QUARTZ SERENITY BoycottCaratBongVer3 BOYCOTT_CARAT
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,0.0,Stop tellin Chris Rock That fresh Skibbity front MILLIONS that
17,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,year coworker being like DAMN when said then nosy customer being like
18,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,customer came through were sleeping
19,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,trust,0.5,hoping immediate effective resolution issue . appreciate your support .
20,0.08333333333333333,0.0,0.0,0.25,0.08333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,trust,0.25,eager learn your team will assist with problem .
21,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.0,fear,0.125,front page tomorrow Sunday Telegraph Hancocks plan frighten pant public TomorrowsPapersT
22,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,positive,0.6666666666666666,_whales confirmed that billion customer fund remain unaccounted
23,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25,positive,0.5,policy number 49495386 Care Health very poor customer support year daughter respo
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,0.0,Stop tellin Chris Rock That fresh Skibbity front MILLIONS that
25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,female customer said recognized that handled ttabokki taehyung
26,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,same today plus they take forever with those line great customer seevice poorslow service
27,0.0,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0,0.14285714285714285,positive,0.42857142857142855,Just uploaded this image print store customer share here have done
28,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,Stop tellin Chris Rock That fresh Skibbity front MILLIONS that holdin like customer service call HOLD MUSIC GOTDAMMIT
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,0.0,Heres coupon your first order KhalasPay accept referral link
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,0.0,about shipping time this order . took long company nothing make
31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,shipping practises this business beyond frustrating . They delivered order slowly made effort make
32,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,year coworker being like DAMN when said then nosy customer being like
33,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,positive,0.6666666666666666,Fuck smoke shop asked gon na paying customer none store that chain ever
34,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,anger,0.25,very angry only Amazon customer review Guts Glory Warner Bros Story Years Award Winne
35,0.0,0.2,0.0,0.0,0.0,0.2,0.4,0.0,0.2,0.0,negative,0.4,cousin used work farmer boy said that once customer rude worker spat inside burger
36,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,_nikki Panav Were sorry learn about your experience Dallas Airport Please send your feedback Customer Relations Team Meanwhile need help with your booking
37,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.42857142857142855,0.14285714285714285,0.14285714285714285,0.0,0.0,positive,0.42857142857142855,_galang Goes right after understanding customer problem value prop
38,0.1,0.05,0.0,0.15,0.1,0.2,0.1,0.1,0.05,0.05,positive,0.2,Will withdrawing business from Walgreens unless until reinstate availability emergency medication woman state where legal earth thought this treat your customer base
39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,retail cryptocurrency investor Coinbase doesnt GIVE SINGLE about surpriseeeee neither finance company Whether crypto traditional customer youre PRODUCT crypto bitcoin stonks
40,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,positive,1.0,Today work phone behind till that never ring EVER started ringing kinda looked around walked away from ringing phone there were customer getting served other till they just walk away customer service finest
41,0.0,0.0,0.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,positive,0.5,Lack customer assessment Wonga failed properly check customer financial capacity make repayment
42,0.125,0.09375,0.0,0.15625,0.0625,0.15625,0.125,0.0625,0.03125,0.09375,trust,0.15625,This general Setting aside impossibility sneaking past world most powerful navy certain nuclear response such invasion would prompt must would China want invade best customer Sounds good achieve economic ruin
43,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.0,0.0,0.0,positive,0.5,huge company disregard right more than half customer base reason enough BoycottWalgreens Walg
44,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.25,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,positive,0.25,been waiting customer support hour feeling supported
45,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.1111111111111111,0.0,negative,0.3333333333333333,livid lack professionalism from this company . They made mistake with order did n't even apologize
46,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25,positive,0.5,just wanted thank amazing customer service . Your representative helpful made day !
